links,contents
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=302028,"{""body"":[{""notHandleType"":0,""problem_id"":4,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.yangjiang.gov.cn/zwgk/zdlyxxgk/xczx/content/post_739585.html"",""transactUnit"":""阳江市政务服务管理局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-26"",""id"":302028,""wzmc"":""阳江市人民政府门户网站"",""displayContent"":null,""description"":""原文中“的的”重复"",""transactTime"":""2023-10-26"",""transactResult"":""网民您好：您在“我为政府网站找错”栏目的留言已收悉。经核查，您反映的问题属实，现已更正。感谢您对我市政府网站的关注和支持。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=302008,"{""body"":[{""notHandleType"":0,""problem_id"":1,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://ai.jl.gov.cn:8509/bot"",""transactUnit"":""吉林省社会保险事业管理局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-26"",""id"":302008,""wzmc"":""吉林省社会保险事业管理局"",""displayContent"":null,""description"":""电话号码是空号"",""transactTime"":""2023-10-26"",""transactResult"":""尊敬的网民，您好！我们将立即对系统进行完善！感谢您的建议！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=302004,"{""body"":[{""notHandleType"":0,""problem_id"":0,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://www.shbsq.gov.cn/"",""transactUnit"":""上海市宝山区融媒体中心"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-26"",""id"":302004,""wzmc"":""上海宝山政府门户网"",""displayContent"":null,""description"":""信用宝山网站“信息公示”下的“行政处罚”点开后无主动公示内容。"",""transactTime"":""2023-10-26"",""transactResult"":""内容可以正常访问，已与网民联系。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=301995,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://www.jcgov.gov.cn/"",""transactUnit"":""晋城市大数据应用局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-26"",""id"":301995,""wzmc"":""晋城市人民政府门户网站"",""displayContent"":null,""description"":""标题为晋城新闻联播2023年10月25日，内容为2022年10月3日。"",""transactTime"":""2023-10-26"",""transactResult"":""尊敬的网友您好！非常感谢您对我们工作的支持和关心，您反映的问题我们已经进行了及时修改，希望您今后继续关注和支持我们，谢谢！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=301982,"{""body"":[{""notHandleType"":0,""problem_id"":0,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://101.230.224.89:8083/frontend/xxgk/view.action?bean.id=2511&partId=14"",""transactUnit"":""静安区生态环境局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-25"",""id"":301982,""wzmc"":""上海静安"",""displayContent"":null,""description"":""访问上海市静安区政府网站，环境生态局，查询环评审批，建设县厚木环境影响评价审批决定公告，之下的内容打开后无法点击附件下载或浏览，报500错误"",""transactTime"":""2023-10-26"",""transactResult"":""感谢您对静安门户网站的关注。经测试页面访问正常。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=301972,"{""body"":[{""notHandleType"":0,""problem_id"":0,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://zjt.shandong.gov.cn/art/2023/10/19/art_102884_10335876.html"",""transactUnit"":""山东省住房和城乡建设厅"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-25"",""id"":301972,""wzmc"":""山东省住房和城乡建设厅"",""displayContent"":null,""description"":""附件无法下载查看"",""transactTime"":""2023-10-26"",""transactResult"":""网民朋友，您好。对您指出的问题，我们立即核实情况，发现附件可以正常下载查看，并未遇到您所述的状况。建议您更换浏览器或清理缓存后再次尝试。\n再次感谢您对我们工作的关心帮助！希望您继续对我们的工作多提宝贵意见，帮助我们更好改进工作。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=301958,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://tjj.linfen.gov.cn/xxfb/tjxx/202303/t20230310_151187.html"",""transactUnit"":""临汾市统计局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-25"",""id"":301958,""wzmc"":""临汾市统计局"",""displayContent"":null,""description"":""根据此页面（http://tjj.linfen.gov.cn/xxfb/tjxx/202205/t20220525_7411.html）显示2021年的利润总额是：329.4亿元 ，那么 “ 2022年临汾市规模以上工业实现利润总额346.9亿元，较上年增长8.4％ ”中的百分比数字应该写错了。"",""transactTime"":""2023-10-26"",""transactResult"":""规模以上工业企业利润总额、营业收入等指标的增速均按可比口径计算。报告期数据与上年所公布的同指标数据之间有不可比因素，不能直接相比计算增速。其主要原因是：根据统计制度，每年定期对规模以上工业企业调查范围进行调整。每年有部分企业达到规模标准纳入调查范围，也有部分企业因规模变小而退出调查范围，还有新建投产企业、破产、注（吊）销企业等变化。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=301941,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.shaoshan.gov.cn/11678/11547/content_1251233.html"",""transactUnit"":""韶山市行政审批服务局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-25"",""id"":301941,""wzmc"":""韶山市人民政府"",""displayContent"":null,""description"":""湖南省韶山市人民政府官方网站发布的新闻报道《邓望军主持召开市政府党组会议暨理论学习中心组集中学习、 “以学铸魂”专题研讨》中写到：【10月16日，市委副书记、市长邓望军主持召开市政府党组会议暨理论学习中心组集中学习、“以学铸魂”专题研讨，要求中心组成员在坚定理想信念中固本培元、在铸牢对党忠诚中立德明志、在站稳人民立场中凝心聚力，不断实现好、维护好、发展好人民群众的根本利益。】其中，“市委副书记、市长邓望军”的表述有缺漏，应该修改为“市委副书记、市长、市政府党组书记邓望军”。"",""transactTime"":""2023-10-26"",""transactResult"":""网民朋友，您好，您在“我为政府网站找错”栏目的留言已收悉。您反映我市政府门户网站发布的“邓望军主持召开市政府党组会议暨理论学习中心组集中学习、 “以学铸魂”专题研讨”的信息中，“市委副书记、市长邓望军”的表述有缺漏。经核实，您所反映的情况属实，我们已对该信息进行了修改处理。今后，我们将进一步加强政府网站信息内容审核，推进全市政府网站的建设管理。感谢您对韶山市政府门户网站的关注和支持！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=301940,"{""body"":[{""notHandleType"":0,""problem_id"":0,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://www.sz.gov.cn/szsrmzfxxgk/dfbmptlj/index.html"",""transactUnit"":""深圳市政府办公厅"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-25"",""id"":301940,""wzmc"":""深圳政府在线"",""displayContent"":null,""description"":""截图页面中的深圳市市场监督管理局跳转，页面显示404 not found"",""transactTime"":""2023-10-26"",""transactResult"":""尊敬的网友方凯珊：您好! 对于您在“我为政府网站找错”栏目留言中的问题，经技术人员核查，市市场监督管理局的链接可正常跳转。在今后工作中，我们将进一步加强网站管理，强化政府网站监督机制。感谢您的留言，希望您一如既往关注深圳政府在线网站建设。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=301937,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://www.jinshishi.gov.cn/zwxx/zwdt/content_131537"",""transactUnit"":""津市市行政审批服务局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-10-25"",""id"":301937,""wzmc"":""津市市人民政府门户网站"",""displayContent"":null,""description"":""湖南省津市市人民政府官方网站发布的新闻报道《我市召开市委审计委员会2023年第二次会议》中写到：“8月31日，市委书记黄旭峰主持召开市委审计委员会2023年第二次会议，研究部署下阶段审计工作。”其中，“市委书记黄旭峰”的表述有缺漏，应该修改为“市委书记、市委审计委员会主任黄旭峰”。"",""transactTime"":""2023-10-26"",""transactResult"":""尊敬的网友，您好，首先感谢您对我们工作的支持。您反映的问题已收悉，经核查属实，我们已经进行更正，您可打开（https://www.jinshishi.gov.cn/zwxx/zwdt/content_131537）进行查看。今后，我们将加强信息的审核，增强责任意识。给您带来的不便敬请谅解！后续您在网站中有任何问题或建议都可直接与我们联系（0736-4200051），再次感谢您对我们工作的支持和理解。""}],""hasMoreItems"":false}"
