id,sitecode,wzmc,problem_id,blzt,bgdate
295808,3303260001,平阳县人民政府门户网站,4,1,2023-08-30
295798,1311000004,衡水市人民政府,1,22,2023-08-30
295791,6101900002,西安高新技术产业开发区,0,1,2023-08-30
295784,6326260001,玛多县人民政府,4,1,2023-08-30
295773,4300000012,湖南省科学技术厅门户网站,2,1,2023-08-30
295747,3211000038,镇江市住房和城乡建设局,0,1,2023-08-30
295697,bm23000001,文化和旅游部政府门户网站,4,1,2023-08-30
295694,6403000012,吴忠市人民政府,1,22,2023-08-30
295692,4310000061,郴州市医疗保障局,2,1,2023-08-30
295686,bm54110001,浙江省气象政府网站,2,1,2023-08-30
295685,bm17000009,中华人民共和国生态环境部政府网站,4,1,2023-08-30
295680,4201130014,武汉经济技术开发区（汉南区）政府门户网站,6,1,2023-08-30
295673,5107000089,绵阳市住房和城乡建设委员会,10,1,2023-08-30
295672,3400000066,安徽政务服务网,10,22,2023-08-30
295668,bm30000012,国家市场监督管理总局,10,1,2023-08-30
295665,4400000106,广东省人力资源和社会保障厅,4,1,2023-08-30
295660,3703020020,淄川区人民政府,2,1,2023-08-30
295654,3100000044,中国上海,4,1,2023-08-30
295653,6100000017,陕西省人民政府,0,1,2023-08-30
295644,bm14000001,中华人民共和国财政部,4,1,2023-08-30
295628,4406000048,佛山市人民政府门户网站,2,1,2023-08-30
295622,bm36000002,国家统计局网站（中国统计信息网）,1,22,2023-08-30
295613,4201160025,黄陂区政府网站,2,1,2023-08-30
295607,3401000050,合肥市住房保障和房产管理局,0,1,2023-08-30
295597,3212810002,兴化市人民政府,2,1,2023-08-30
295595,4406060025,顺德区人民政府网,2,22,2023-08-30
295585,3608810001,井冈山市人民政府网,4,1,2023-08-30
295579,6500000089,新疆维吾尔自治区药品监督管理局,2,1,2023-08-30
295575,3406020007,淮北市杜集区人民政府,2,1,2023-08-30
295574,4407000007,江门市人民政府门户网站,2,22,2023-08-30
295569,6101000027,西安市人力资源和社会保障局,10,22,2023-08-30
295564,4100000037,河南省人力资源和社会保障厅,10,22,2023-08-30
295553,6404240001,泾源县人民政府门户网站,2,1,2023-08-30
295546,3403000006,蚌埠市人民政府,5,1,2023-08-30
295543,4300000001,湖南省政府门户网站,4,1,2023-08-30
295538,2110000053,辽阳政务服务网,3,1,2023-08-30
295535,3300000069,浙江政务服务网,0,22,2023-08-30
295524,5000000062,重庆市人力资源和社会保障局,6,1,2023-08-30
295494,1401000055,太原市人民政府门户网站,0,1,2023-08-30
295493,3303000026,温州市国资委,0,1,2023-08-30
295479,bm30000002,中国商标网（国家知识产权局商标局）,2,1,2023-08-30
295470,5100000065,四川省住房和城乡建设厅,1,22,2023-08-30
295463,5119000027,巴中市人力资源和社会保障局,0,22,2023-08-30
295454,4400000084,广东政务服务网,1,1,2023-08-30
295449,bm69000001,国家铁路局,3,22,2023-08-30
295447,4200000116,湖北政务服务网,10,1,2023-08-30
295442,3200000098,江苏政务服务网,0,1,2023-08-30
295441,bm04000010,全国投资项目在线审批监管平台互联网网站,10,22,2023-08-30
295434,3311020002,莲都区人民政府门户网站,1,1,2023-08-30
295429,3311210001,青田县人民政府门户网站,2,1,2023-08-30
295428,3311240009,松阳县人民政府,0,1,2023-08-30
295422,2203810013,公主岭市人民政府网站,2,1,2023-08-30
295395,bm35000001,国家药品监督管理局,0,1,2023-08-30
295394,bm22000001,中华人民共和国商务部门户网站,0,1,2023-08-30
295367,4100000094,河南省政务服务网,10,1,2023-08-30
295363,6327220001,杂多县政府网,4,1,2023-08-30
295335,4116260001,淮阳区政务网,6,1,2023-08-30
295313,4304000038,衡阳市政府门户网站,2,22,2023-08-30
295674,3701000067,济南市住房和城乡建设局官网,0,1,2023-08-29
295671,3402230002,南陵县人民政府,0,22,2023-08-29
295648,3708270004,鱼台县人民政府,2,1,2023-08-29
295639,3200000029,江苏省民政厅,0,1,2023-08-29
295638,4500000073,广西壮族自治区文化和旅游厅网站,2,1,2023-08-29
295631,4404000050,珠海市住房和城乡建设局,0,1,2023-08-29
295627,1300000003,河北省工业和信息化厅,4,1,2023-08-29
295621,3100000120,上海市房屋管理局,2,1,2023-08-29
295612,4301000052,长沙市政府门户网站,6,1,2023-08-29
295609,3401000050,合肥市住房保障和房产管理局,4,13,2023-08-29
295601,bm29330003,国家税务总局宁波市税务局网站,10,22,2023-08-29
295593,bm30000012,国家市场监督管理总局,1,1,2023-08-29
295578,5100000011,四川省水利厅门户网站,2,1,2023-08-29
295572,5100000052,四川省政府国有资产监督管理委员会门户网站,2,1,2023-08-29
295567,4112000001,三门峡市人民政府门户网站,2,1,2023-08-29
295565,3406020007,淮北市杜集区人民政府,1,1,2023-08-29
295563,3200000058,江苏省发展和改革委员会,2,22,2023-08-29
295561,3415000075,六安市人民政府,2,1,2023-08-29
295558,bm36000002,国家统计局网站（中国统计信息网）,2,22,2023-08-29
295526,4101000063,郑州市卫生健康委员会,2,1,2023-08-29
295523,3201000001,南京市人民政府,0,22,2023-08-29
295520,5300000005,云南省生态环境厅,1,1,2023-08-29
295517,3400000077,安徽省人力资源和社会保障厅,10,1,2023-08-29
295510,4415000052,汕尾市人民政府门户网,2,1,2023-08-29
295508,bm35000001,国家药品监督管理局,2,1,2023-08-29
295503,3500000043,福建省统计局,2,1,2023-08-29
295492,2101000002,沈阳市政务服务网,0,22,2023-08-29
295486,3410020001,黄山市屯溪区人民政府,6,1,2023-08-29
295480,4300000001,湖南省政府门户网站,10,22,2023-08-29
295478,3700000004,山东省市场监督管理局,10,22,2023-08-29
295474,6527000001,博尔塔拉蒙古自治州人民政府,1,1,2023-08-29
295472,5202000046,六盘水市人民政府,4,1,2023-08-29
295465,5100000042,四川省人力资源和社会保障厅,0,1,2023-08-29
295455,4400000005,广东省情网,4,1,2023-08-29
295452,4400000084,广东政务服务网,10,22,2023-08-29
295436,1300000065,河北省政府采购网,4,1,2023-08-29
295425,bm31370001,国家标准化管理委员会,2,1,2023-08-29
295419,bm24000006,中华人民共和国国家卫生健康委员会,1,1,2023-08-29
295411,2205810013,梅河口市人民政府,2,1,2023-08-29
295401,6101900002,西安高新技术产业开发区,0,1,2023-08-29
295400,3200000059,江苏省自然资源厅,0,22,2023-08-29
295386,3300000001,浙江省人力资源和社会保障网,0,1,2023-08-29
295383,3600000103,江西政务服务网,10,22,2023-08-29
295378,bm15000011,技能人才评价工作网,10,22,2023-08-29
295368,4100000037,河南省人力资源和社会保障厅,0,1,2023-08-29
295357,4300000004,湖南财政网,0,1,2023-08-29
295348,3207000041,连云港市人力资源和社会保障局,10,22,2023-08-29
295322,bm15000001,全国人力资源和社会保障政务服务平台,2,22,2023-08-29
295304,4100000001,河南省人民政府门户网站,6,22,2023-08-29
295281,bm38000007,国家知识产权局政府网站,10,1,2023-08-29
295260,4100000015,河南省卫生健康委员会,0,1,2023-08-29
295259,bm22000001,中华人民共和国商务部门户网站,2,1,2023-08-29
295235,4105810012,红旗渠网,1,1,2023-08-29
294810,5425210001,阿里地区普兰县人民政府,2,22,2023-08-29
292371,bm31360001,中国国家认证认可监督管理委员会,2,22,2023-08-29
278765,bm70000001,中国民用航空局,5,1,2023-08-29
295521,3200000068,江苏省文化和旅游厅,0,1,2023-08-28
295518,3300000069,浙江政务服务网,2,1,2023-08-28
295509,3700000010,山东省住房和城乡建设厅,1,22,2023-08-28
295505,3500000080,福建省公共资源交易电子公共服务平台,0,22,2023-08-28
295504,4600000020,洋浦经济开发区,0,1,2023-08-28
295497,3200000059,江苏省自然资源厅,3,22,2023-08-28
295495,4512000027,广西河池市应急管理局网站,4,1,2023-08-28
295491,bm20000001,中华人民共和国水利部网站,0,1,2023-08-28
295476,4300000025,湖南省人力资源和社会保障厅,1,1,2023-08-28
295471,2301280001,哈尔滨市通河县人民政府,10,1,2023-08-28
295460,5328000003,西双版纳傣族自治州人民政府,2,1,2023-08-28
295448,3411000043,滁州市人力资源和社会保障局,4,1,2023-08-28
295443,bm12000003,民政部门户网站,3,22,2023-08-28
295420,4400000084,广东政务服务网,10,22,2023-08-28
295418,3210840025,高邮市人民政府,4,22,2023-08-28
295414,3100000017,上海市市场监督管理局,10,1,2023-08-28
295413,3209210002,响水县人民政府,4,1,2023-08-28
295410,4400000106,广东省人力资源和社会保障厅,0,22,2023-08-28
295406,3707000043,潍坊市住房和城乡建设局,6,1,2023-08-28
295402,3301000141,杭州市公共资源交易网,4,22,2023-08-28
295397,bm37000013,国家林业和草原局政府门户网,0,22,2023-08-28
295390,3714000032,德州市政府门户网站,2,1,2023-08-28
295385,4500000027,广西壮族自治区药品监督管理局网站,2,1,2023-08-28
295380,5115250001,高县人民政府,6,1,2023-08-28
295375,3305000015,湖州市人民政府,2,1,2023-08-28
295365,4600000058,海南省人力资源和社会保障厅,10,1,2023-08-28
295353,bm04000009,信用中国,6,1,2023-08-28
295351,3702000025,青岛政务网,10,22,2023-08-28
295349,3700000071,山东省人民政府,0,1,2023-08-28
295339,4403000005,深圳市住房和建设局,2,1,2023-08-28
295336,4419000031,东莞市自然资源局,1,1,2023-08-28
295330,4404040004,金湾区人民政府网,10,1,2023-08-28
295326,bm62000002,国家能源局门户网站,2,1,2023-08-28
295312,5100000016,四川省教育厅,0,1,2023-08-28
295307,4300000001,湖南省政府门户网站,2,1,2023-08-28
295300,4105810012,红旗渠网,2,1,2023-08-28
295297,bm17000016,国家核安全局,10,1,2023-08-28
295293,bm30000002,中国商标网（国家知识产权局商标局）,1,1,2023-08-28
295284,bm31370001,国家标准化管理委员会,6,1,2023-08-28
295276,2102000112,大连市政府采购网,0,1,2023-08-28
295267,4601070001,海口市琼山区人民政府,0,1,2023-08-28
295253,3700000016,山东省发展和改革委员会,10,1,2023-08-28
295248,5000000062,重庆市人力资源和社会保障局,1,1,2023-08-28
295239,5100000101,四川政务服务网,10,1,2023-08-28
295238,4300000004,湖南财政网,2,1,2023-08-28
295213,2101000002,沈阳市政务服务网,6,22,2023-08-28
295191,4100000094,河南省政务服务网,10,1,2023-08-28
295182,3100000044,中国上海,0,1,2023-08-28
295158,bm36000002,国家统计局网站（中国统计信息网）,2,22,2023-08-28
295111,bm35000001,国家药品监督管理局,6,1,2023-08-28
295109,2100000091,信用中国（辽宁）,0,1,2023-08-28
295085,2327000040,大兴安岭地区行政公署,1,1,2023-08-28
295080,4400000081,广东省教育考试院,6,22,2023-08-28
294510,bm86000001,国家移民管理局,2,1,2023-08-28
294497,5425000009,阿里地区行政公署,1,1,2023-08-28
295206,2102000003,大连市人民政府,10,22,2023-08-27
295379,3301000005,杭州市人民政府门户网站,0,1,2023-08-25
295371,5204000007,安顺经济技术开发区,4,1,2023-08-25
295364,4690230008,海南省澄迈县人民政府网站,2,1,2023-08-25
295360,bm14000002,中国政府采购网,2,1,2023-08-25
295356,3700000019,山东民族宗教网,6,1,2023-08-25
